"@timestamp",message,"tote_id","location_id"
"May 10, 2023 @ 08:48:30.687","Tote 880000417598 arrived at discharge point: Divert_ToteLoop_Discharge1",880000417598,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:30.462","Tote 770000209267 arrived at interchange point: Divert_ToteLoop_Recirc4",770000209267,"Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:30.454","Tote 770000616956 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",770000616956,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:29.902","Tote 880000434054 arrived at interchange point: Divert_ToteLoop_Recirc3",880000434054,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:29.838","Tote 770000570731 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000570731,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:29.657","Tote 880000407961 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000407961,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:28.799","Tote ???????????? arrived at interchange point: Divert_ToteLoop_Recirc5","????????????","Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:28.385","Tote 880000491272 arrived at discharge point: Divert_ToteLoop_Discharge1",880000491272,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:28.094","Tote 770000520595 arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder",770000520595,"Divert_SPS03_HighwayFeeder"
"May 10, 2023 @ 08:48:28.058","Tote 880000481937 arrived at interchange point: Divert_ToteLoop_Recirc4",880000481937,"Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:28.055","Tote 770000550835 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000550835,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 08:48:27.941","Tote 880000448527 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000448527,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:27.345","Tote 880000406099 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000406099,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:27.247","Tote 880000411453 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000411453,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:27.225","Tote ???????????? arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder","????????????","Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:26.996","Tote 770000209267 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000209267,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:25.780","Tote ???????????? arrived at interchange point: Divert_ToteLoop_Recirc3","????????????","Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:25.746","Tote 770000563142 arrived at interchange point: Divert_ToteLoop_Recirc2",770000563142,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:25.648","Tote 880000427879 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000427879,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:25.065","Tote 880000481417 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000481417,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 08:48:24.767","Tote ???????????? arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder","????????????","Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:24.287","Tote 770000595724 arrived at interchange point: Divert_ToteLoop_Recirc5",770000595724,"Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:24.255","Tote 770000563690 arrived at discharge point: Divert_ToteLoop_Discharge1",770000563690,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:23.593","Tote 880000428424 arrived at interchange point: Divert_ToteLoop_Recirc3",880000428424,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:23.588","Tote 880000481107 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000481107,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:23.394","Tote 770000574555 arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder",770000574555,"Divert_SPS03_HighwayFeeder"
"May 10, 2023 @ 08:48:23.286","Tote 770000529671 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",770000529671,"Divert_SPS07_HighwayFeeder"
"May 10, 2023 @ 08:48:23.025","Tote 880000431971 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000431971,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:22.901","Tote 880000449757 arrived at interchange point: Divert_ToteLoop_Recirc1",880000449757,"Divert_ToteLoop_Recirc1"
"May 10, 2023 @ 08:48:22.175","Tote 880000433393 arrived at interchange point: Divert_ToteLoop_Recirc2",880000433393,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:22.108","Tote 880000474447 arrived at discharge point: Divert_ToteLoop_Discharge1",880000474447,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:21.730","Tote 880000492026 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000492026,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:21.720","Tote 880000451527 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000451527,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 08:48:21.628","Tote 770000532147 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",770000532147,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:21.625","Tote 770000616846 arrived at interchange point: Divert_ToteLoop_Recirc3",770000616846,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:21.343","Tote 880000430944 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000430944,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:20.835","Tote 880000452587 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000452587,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:20.738","Tote 770000570143 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000570143,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:20.542","Tote 880000450007 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000450007,"Divert_SPS07_HighwayFeeder"
"May 10, 2023 @ 08:48:20.399","Tote 880000424235 arrived at interchange point: Divert_ToteLoop_Recirc5",880000424235,"Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:19.904","Tote 880000456887 arrived at interchange point: Divert_ToteLoop_Recirc2",880000456887,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:19.677","Tote 770000609754 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",770000609754,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:19.642","Tote 770000597275 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000597275,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:19.381","Tote 770000608831 arrived at interchange point: Divert_ToteLoop_Recirc3",770000608831,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:18.525","Tote 770000547381 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000547381,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:18.493","Tote 770000565425 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000565425,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:18.298","Tote 770000569891 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",770000569891,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:18.174","Tote ???????????? arrived at interchange point: Divert_ToteLoop_Recirc1","????????????","Divert_ToteLoop_Recirc1"
"May 10, 2023 @ 08:48:17.486","Tote 880000426492 arrived at interchange point: Divert_ToteLoop_Recirc3",880000426492,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:17.195","Tote 880000492114 arrived at interchange point: Divert_ToteLoop_Recirc4",880000492114,"Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:16.575","Tote 880000479997 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000479997,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 08:48:16.494","Tote 880000406248 arrived at discharge point: Divert_ToteLoop_Discharge2",880000406248,"Divert_ToteLoop_Discharge2"
"May 10, 2023 @ 08:48:16.408","Tote 770000531430 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",770000531430,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:16.266","Tote 880000485167 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000485167,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:15.907","Tote 880000491463 arrived at interchange point: Divert_ToteLoop_Recirc2",880000491463,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:15.843","Tote 770000551063 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",770000551063,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:14.654","Tote 880000491251 arrived at interchange point: Divert_ToteLoop_Recirc5",880000491251,"Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:14.653","Tote 770000513438 arrived at interchange point: Divert_ToteLoop_Recirc3",770000513438,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:14.587","Tote 880000488207 arrived at discharge point: Divert_ToteLoop_Discharge2",880000488207,"Divert_ToteLoop_Discharge2"
"May 10, 2023 @ 08:48:14.223","Tote 770000550736 arrived at interchange point: Divert_ToteLoop_Recirc2",770000550736,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:14.127","Tote 770000603085 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",770000603085,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:13.984","Tote 770000209267 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000209267,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:13.875","Tote 880000471277 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000471277,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:13.796","Tote ???????????? arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder","????????????","Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:13.300","Tote ???????????? arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder","????????????","Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:13.120","Tote 880000448527 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000448527,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:48:12.192","Tote 880000492060 arrived at interchange point: Divert_ToteLoop_Recirc3",880000492060,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:12.125","Tote 880000436703 arrived at interchange point: Divert_ToteLoop_Recirc5",880000436703,"Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:11.781","Tote ???????????? arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder","????????????","Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:11.617","Tote 880000423315 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000423315,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:11.550","Tote 770000529671 arrived at interchange point: Divert_ToteLoop_Recirc4",770000529671,"Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:11.395","Tote 880000408545 arrived at interchange point: Divert_ToteLoop_Recirc6",880000408545,"Divert_ToteLoop_Recirc6"
"May 10, 2023 @ 08:48:11.394","Tote 880000430944 arrived at interchange point: Divert_ToteLoop_Recirc2",880000430944,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:11.199","Tote 880000427879 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000427879,"Divert_SPS02_HighwayFeeder"
