"@timestamp",message,"tote_id","location_id"
"Nov 16, 2022 @ 14:54:21.982","Tote 880000483607 arrived at interchange point: Divert_ToteLoop_Recirc5",880000483607,"Divert_ToteLoop_Recirc5"
"Nov 16, 2022 @ 14:54:21.683","Tote 770000601096 arrived at interchange point: Divert_ToteLoop_Recirc1",770000601096,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:20.312","Tote 880000491451 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000491451,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:54:20.275","Tote ???????????? arrived at discharge point: Divert_ToteLoop_Discharge1","????????????","Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:19.726","Tote 880000415323 arrived at interchange point: Divert_ToteLoop_Recirc5",880000415323,"Divert_ToteLoop_Recirc5"
"Nov 16, 2022 @ 14:54:19.134","Tote 880000491202 arrived at interchange point: Divert_ToteLoop_Recirc1",880000491202,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:18.848","Tote 880000441477 arrived at interchange point: Divert_ToteLoop_Recirc3",880000441477,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:18.745","Tote 770000598271 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",770000598271,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:54:17.890","Tote 770000579505 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000579505,"Divert_SPS04_HighwayFeeder"
"Nov 16, 2022 @ 14:54:17.466","Tote 770000587107 arrived at interchange point: Divert_ToteLoop_Recirc6",770000587107,"Divert_ToteLoop_Recirc6"
"Nov 16, 2022 @ 14:54:16.828","Tote 880000487697 arrived at interchange point: Divert_ToteLoop_Recirc3",880000487697,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:16.626","Tote 770000539948 arrived at interchange point: Divert_ToteLoop_Recirc1",770000539948,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:16.497","Tote 880000430285 arrived at interchange point: Divert_ToteLoop_Recirc4",880000430285,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 14:54:16.305","Tote 880000417483 arrived at discharge point: Divert_ToteLoop_Discharge1",880000417483,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:15.872","Tote 880000484477 arrived at discharge point: Divert_ToteLoop_Discharge2",880000484477,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:54:14.695","Tote 770000569264 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000569264,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:54:14.426","Tote 880000413994 arrived at discharge point: Divert_ToteLoop_Discharge1",880000413994,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:14.292","Tote 770000536778 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",770000536778,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 14:54:13.839","Tote 770000587107 arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder",770000587107,"Divert_SPS03_HighwayFeeder"
"Nov 16, 2022 @ 14:54:13.359","Tote 880000430285 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",880000430285,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 14:54:12.805","Tote 880000425251 arrived at interchange point: Divert_ToteLoop_Recirc1",880000425251,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:12.707","Tote 880000491225 arrived at interchange point: Divert_ToteLoop_Recirc3",880000491225,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:12.673","Tote 880000410496 arrived at discharge point: Divert_ToteLoop_Discharge1",880000410496,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:12.378","Tote 880000491656 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000491656,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:54:11.329","Tote 880000408951 arrived at discharge point: Divert_ToteLoop_Discharge2",880000408951,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:54:10.695","Tote 880000424063 arrived at interchange point: Divert_ToteLoop_Recirc3",880000424063,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:10.693","Tote 770000531101 arrived at discharge point: Divert_ToteLoop_Discharge1",770000531101,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:10.399","Tote 880000441117 arrived at interchange point: Divert_ToteLoop_Recirc1",880000441117,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:10.127","Tote 770000580379 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000580379,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:54:10.115","Tote 770000563807 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000563807,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 14:54:08.774","Tote 880000486907 arrived at discharge point: Divert_ToteLoop_Discharge1",880000486907,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:08.228","Tote 880000407281 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000407281,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:54:08.016","Tote 880000481587 arrived at interchange point: Divert_ToteLoop_Recirc1",880000481587,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:07.710","Tote 880000472367 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000472367,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:54:07.525","Tote 880000483607 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000483607,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 14:54:07.491","Tote 880000410555 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000410555,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 14:54:07.426","Tote 880000491464 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000491464,"Divert_SPS05_HighwayFeeder"
"Nov 16, 2022 @ 14:54:07.168","Tote 880000487957 arrived at interchange point: Divert_ToteLoop_Recirc3",880000487957,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:06.795","Tote 770000197687 arrived at discharge point: Divert_ToteLoop_Discharge1",770000197687,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:54:06.082","Tote 880000480067 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000480067,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:54:05.840","Tote 880000415762 arrived at interchange point: Divert_ToteLoop_Recirc1",880000415762,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:54:05.700","Tote 880000415737 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",880000415737,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 14:54:05.436","Tote 880000415323 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000415323,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 14:54:04.111","Tote 770000552863 arrived at interchange point: Divert_ToteLoop_Recirc5",770000552863,"Divert_ToteLoop_Recirc5"
"Nov 16, 2022 @ 14:54:03.826","Tote 770000598271 arrived at interchange point: Divert_ToteLoop_Recirc3",770000598271,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:54:03.661","Tote 770000509129 arrived at interchange point: Divert_ToteLoop_Recirc4",770000509129,"Divert_ToteLoop_Recirc4"
