@timestamp,message,system_name
"May 5, 2023 @ 14:07:55.631",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:07:46.089",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 14:07:24.092",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 14:06:58.302",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 14:01:50.449",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:01:50.449",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:00:37.686",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:00:37.686",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:58:31.513",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:58:31.513",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:58:17.347",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 13:58:01.382",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 13:57:43.240",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:57:43.239",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:57:39.377",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 13:57:20.736",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 13:33:30.510",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 13:32:53.524",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:32:53.524",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:31:42.841",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:31:42.841",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:30:19.200",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:30:19.199",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:30:04.047",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 13:29:50.269",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 13:29:29.145",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:29:29.144",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
