"@timestamp",message,"system_name"
"Nov 16, 2022 @ 10:23:01.839","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:22:58.246","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:22:39.973","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:22:21.543","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:22:10.922","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:22:10.922","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:21:20.731","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:21:20.730","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:20:22.701","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:20:04.081","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:19:46.855","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:19:46.855","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:19:43.220","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:19:25.080","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:19:09.161","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:18:58.439","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
